Sender_account,Date,daily_total,daily_count,previous_day_total,change_from_previous_day,alert_type,behavioural_flag
1000200981,2022-12-11,4258.73,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1001154860,2022-11-23,5843.34,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1008340236,2022-10-07,4896.77,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1009483043,2022-10-07,3720.32,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1010150965,2022-11-22,6124.51,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1015091738,2022-10-07,4534.20,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1015594108,2022-11-30,5851.97,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1021972,2022-10-31,7988.53,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1021972,2022-12-04,20821.23,1,7988.53,12832.70,"BEHAVIOURAL CHANGE",HIGH
1025527300,2022-10-07,11232.99,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1030676446,2022-10-07,11017.78,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1030692910,2022-10-07,47306.32,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1041875273,2022-10-07,551.16,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1043391543,2022-10-07,288.01,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1048480600,2022-10-07,19568.05,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1048749723,2022-10-07,6084.07,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1049218260,2022-10-07,11062.10,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
105185176,2022-10-07,6996.78,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1052526649,2022-10-07,2261.42,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1054167985,2022-10-07,9684.43,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1060260852,2022-10-07,3620.65,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1062641900,2022-11-11,4148.37,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1067704948,2022-10-28,11258.94,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1074336451,2022-10-07,2299.29,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1074859180,2022-10-07,69403.49,4,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1075923045,2022-10-07,2958.27,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1076202815,2022-10-13,7750.24,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1078784207,2022-10-07,8608.92,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1083806619,2022-10-07,423.21,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1083896690,2022-11-05,40575.80,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1087195568,2022-10-07,52.81,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1092702536,2022-10-07,38862.45,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1093908497,2022-10-07,3466.26,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
109525315,2022-10-07,77813.31,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1099653962,2022-11-20,4299.15,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1102444547,2022-12-10,4720.37,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1104637724,2022-10-07,1490.10,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1108824956,2022-10-07,3188.32,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1111368692,2022-11-13,4805.38,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1119631775,2022-10-07,19365.46,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1125567105,2022-10-07,78.72,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1126197668,2022-10-07,1063.77,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1127850226,2022-10-07,1549.22,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1128073435,2022-10-07,2260.22,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1132272920,2022-12-01,25699.30,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1132467225,2022-12-12,2554.20,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1137597187,2022-10-07,26513.17,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1137771716,2022-10-07,18.92,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1139132462,2022-10-07,10753.03,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1140797403,2022-10-07,858.34,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1144157295,2022-10-07,8062.41,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1144527098,2022-10-07,1003.82,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1147093613,2022-11-14,2850.79,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1150155424,2022-10-07,4897.93,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1151481341,2022-10-07,800.97,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
115683040,2022-11-03,3973.60,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1157640068,2022-10-07,69.19,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1159461451,2022-11-05,36780.86,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1160754375,2022-11-14,17460.98,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1162683951,2022-10-07,11588.67,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1164020053,2022-10-07,4569.51,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1168258535,2022-10-13,3142.62,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1168600456,2022-10-07,1101.99,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1171771003,2022-11-11,5294.05,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1173553473,2022-11-11,4564.68,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1176466153,2022-12-15,2402.83,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1180835223,2022-12-14,4445.65,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1182528804,2022-10-07,24968.66,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1184607529,2022-11-09,9237.57,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1184607529,2022-11-12,8412.82,1,9237.57,-824.75,"BEHAVIOURAL CHANGE",NORMAL
1186960160,2022-12-10,3602.35,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
119224597,2022-10-07,8653.21,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1194906351,2022-10-07,137.45,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1203252958,2022-10-07,5298.59,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1207494413,2022-10-07,4800.53,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1207494413,2022-11-19,5424.17,1,4800.53,623.64,"BEHAVIOURAL CHANGE",NORMAL
1207494413,2022-11-23,21396.67,2,5424.17,15972.50,"BEHAVIOURAL CHANGE",CRITICAL
1207494413,2022-11-24,9769.24,1,21396.67,-11627.43,"BEHAVIOURAL CHANGE",NORMAL
120902347,2022-10-09,3747.94,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1209741468,2022-10-20,4704.84,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1218186942,2022-10-07,1143.36,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1218240484,2022-10-07,147.61,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1220646142,2022-10-07,23327.38,3,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1224012174,2022-10-07,1381.34,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1224339032,2022-10-07,2652.61,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1225080541,2022-10-07,12554.48,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1226327777,2022-10-07,1104.67,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1226944129,2022-10-07,26613.91,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1227954939,2022-10-07,5149.05,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1233589069,2022-11-09,3452.10,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1239830563,2022-11-08,6196.74,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1241244322,2022-11-14,4523.59,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1245737583,2022-10-07,1702.04,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1249988229,2022-12-12,7059.94,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1253215932,2022-10-07,248.62,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1253336976,2022-11-14,128.36,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1253336976,2022-11-15,103.56,1,128.36,-24.80,"BEHAVIOURAL CHANGE",NORMAL
1253336976,2022-11-16,203.14,1,103.56,99.58,"BEHAVIOURAL CHANGE",NORMAL
1253336976,2022-11-17,143.39,2,203.14,-59.75,"BEHAVIOURAL CHANGE",NORMAL
1253336976,2022-11-18,586.32,2,143.39,442.93,"BEHAVIOURAL CHANGE",CRITICAL
1253336976,2022-11-19,130.47,1,586.32,-455.85,"BEHAVIOURAL CHANGE",NORMAL
1261815001,2022-10-07,175632.26,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1265983749,2022-10-07,3798.54,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1269968046,2022-10-07,4383.33,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
127154492,2022-10-07,5048.04,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1274645528,2022-10-07,9844.27,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1278425401,2022-11-21,4402.06,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1283259754,2022-10-07,2184.66,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
128336607,2022-10-07,9544.33,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1285588849,2022-11-09,6378.33,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1290703625,2022-10-07,7205.61,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1291265097,2022-10-08,4273.93,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1294695860,2022-10-07,5795.55,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1300794618,2022-10-07,7803.02,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1304411851,2022-10-07,42055.97,4,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
130653303,2022-10-07,9404.35,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1311086092,2022-10-07,2905.21,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1313283747,2022-10-07,3807.06,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1319704443,2022-10-07,536.23,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1332443097,2022-10-07,241.64,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1339917371,2022-11-18,5473.28,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1340109383,2022-10-07,222.89,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1343121729,2022-10-07,17107.06,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1351502592,2022-10-19,4616.55,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
13527377,2022-10-07,2488.91,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1358482520,2022-10-07,7869.67,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1363208571,2022-10-07,12328.22,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1364111403,2022-10-17,7485.08,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1365245330,2022-10-16,3093.64,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1367481057,2022-10-07,1460.82,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1368491162,2022-10-07,2264.23,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1369330563,2022-10-07,54.46,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1374242794,2022-10-07,9141.73,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1376796548,2022-10-07,16182.11,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1378784400,2022-10-07,173553.65,24,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
138146654,2022-10-07,1022.26,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1382495057,2022-10-07,33973.78,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1382513766,2022-10-07,25765.38,3,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1386801348,2022-10-07,11432.36,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1388172926,2022-10-07,1465.18,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1391897700,2022-10-07,3919.76,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1397358796,2022-10-07,2533.12,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1399204216,2022-10-07,1313.64,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1402296413,2022-12-01,14552.69,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1402296413,2022-12-02,7838.57,1,14552.69,-6714.12,"BEHAVIOURAL CHANGE",NORMAL
1402296413,2022-12-11,23115.04,1,7838.57,15276.47,"BEHAVIOURAL CHANGE",HIGH
1402296413,2022-12-13,15920.73,1,23115.04,-7194.31,"BEHAVIOURAL CHANGE",NORMAL
1404601227,2022-10-07,2640.24,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1405792399,2022-10-07,33318.56,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1408017543,2022-10-07,27221.11,2,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1409881402,2022-11-14,4209.80,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1411365155,2022-10-07,4476.60,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1416418992,2022-10-22,8541.04,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1416418992,2022-11-02,2767.89,1,8541.04,-5773.15,"BEHAVIOURAL CHANGE",NORMAL
1416418992,2022-12-04,12837.95,1,2767.89,10070.06,"BEHAVIOURAL CHANGE",CRITICAL
1419661241,2022-10-07,15622.36,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
142007788,2022-10-08,4559.64,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
1422566926,2022-10-07,1347.06,1,NULL,NULL,"BEHAVIOURAL CHANGE",NORMAL
